comuna,precio_93,precio_95,diesel
Valparaíso,1507.0,1552.0,1339.0
Valparaíso,1445.0,1500.0,1312.0
Valparaíso,1509.0,1555.0,1342.0
Valparaíso,1447.0,1499.0,1311.0
Valparaíso,1459.0,1513.0,1321.0
Valparaíso,1509.0,1555.0,1342.0
Valparaíso,1447.0,1499.0,1311.0
Valparaíso,1459.0,1513.0,1322.0
Valparaíso,1446.0,1491.0,1316.0
Valparaíso,1459.0,1513.0,1325.0
Valparaíso,1459.0,1513.0,1325.0
Valparaíso,1509.0,1556.0,1342.0
Valparaíso,1447.0,1499.0,1311.0
Valparaíso,1507.0,1552.0,1339.0
Valparaíso,,,
Valparaíso,1444.0,1491.0,1315.0
Casablanca,1510.0,1556.0,1345.0
Casablanca,1616.0,1659.0,1466.0
Concón,1473.0,1542.0,1334.0
Concón,1463.0,1538.0,1330.0
Concón,1473.0,1548.0,1335.0
Concón,1473.0,1542.0,1334.0
Concón,1502.0,1547.0,1342.0
Concón,1473.0,1548.0,1335.0
Puchuncaví,1510.0,1553.0,1324.0
Puchuncaví,1510.0,1553.0,1343.0
Puchuncaví,1510.0,1553.0,1343.0
Quintero,1490.0,1535.0,1328.0
Quintero,1490.0,1535.0,1319.0
Quintero,1490.0,1535.0,1328.0
Viña del Mar,,,
Viña del Mar,1495.0,1540.0,1327.0
Viña del Mar,1497.0,1541.0,1327.0
Viña del Mar,1489.0,1534.0,1319.0
Viña del Mar,1502.0,1547.0,1342.0
Viña del Mar,1497.0,1542.0,1319.0
Viña del Mar,1497.0,1542.0,1337.0
Viña del Mar,1497.0,1542.0,1319.0
Viña del Mar,1489.0,1534.0,1321.0
Viña del Mar,1497.0,1542.0,1325.0
Viña del Mar,1497.0,1542.0,1319.0
Viña del Mar,1493.0,1538.0,1325.0
Viña del Mar,1497.0,1542.0,1319.0
Viña del Mar,1497.0,1542.0,1324.0
Viña del Mar,1497.0,1542.0,1319.0
Viña del Mar,1497.0,1541.0,1327.0
Viña del Mar,1495.0,1540.0,1327.0
Viña del Mar,1497.0,1542.0,1337.0
Viña del Mar,1497.0,1542.0,1337.0
Viña del Mar,1502.0,1547.0,1342.0
Viña del Mar,1497.0,1541.0,1327.0
Viña del Mar,1489.0,1534.0,1319.0
Viña del Mar,1489.0,1534.0,1319.0
Viña del Mar,1497.0,1542.0,1319.0
Viña del Mar,1497.0,1542.0,1319.0
Viña del Mar,1497.0,1542.0,1319.0
Isla de Pascua,,,
Isla de Pascua,,,
Los Andes,1516.0,1558.0,1343.0
Los Andes,1504.0,1546.0,1331.0
Los Andes,,,
Los Andes,1517.0,1562.0,1340.0
Los Andes,1517.0,1559.0,1344.0
Los Andes,1607.0,1654.0,1521.0
Los Andes,1517.0,,1340.0
Los Andes,1512.0,1554.0,1339.0
Los Andes,1516.0,1558.0,1343.0
Los Andes,1515.0,1558.0,1342.0
Calle Larga,1512.0,1554.0,1339.0
San Esteban,1515.0,1558.0,1342.0
San Esteban,1515.0,1558.0,1342.0
Rinconada,1514.0,1557.0,1347.0
La Ligua,,,
La Ligua,1508.0,1553.0,1340.0
La Ligua,1508.0,1553.0,1340.0
Cabildo,1504.0,1549.0,1341.0
Cabildo,1504.0,1549.0,1341.0
Papudo,1491.0,1541.0,1341.0
Petorca,1600.0,1650.0,1458.0
Zapallar,1511.0,1554.0,1349.0
Quillota,1506.0,1550.0,1331.0
Quillota,1506.0,1550.0,1331.0
Quillota,1506.0,1550.0,1331.0
Quillota,1491.0,1535.0,1316.0
Quillota,1508.0,1551.0,1333.0
Quillota,1506.0,1550.0,1331.0
Quillota,1506.0,1550.0,1331.0
Quillota,1506.0,1550.0,1331.0
Quillota,1506.0,1550.0,1331.0
Quillota,1506.0,1550.0,1331.0
Calera,1433.0,1477.0,1328.0
Calera,1431.0,1475.0,1323.0
Calera,1433.0,1477.0,1335.0
Calera,1426.0,,1323.0
Calera,1431.0,1477.0,1323.0
Hijuelas,1513.0,1553.0,1348.0
Hijuelas,1486.0,1522.0,1352.0
Hijuelas,1513.0,1553.0,1348.0
La Cruz,1505.0,1549.0,1323.0
Nogales,1508.0,1548.0,1338.0
Nogales,1513.0,1553.0,1348.0
San Antonio,1512.0,1553.0,1348.0
San Antonio,1512.0,1553.0,1348.0
San Antonio,1512.0,1553.0,1348.0
San Antonio,,,
San Antonio,1512.0,1553.0,1344.0
San Antonio,1512.0,1553.0,1348.0
San Antonio,,1553.0,1348.0
San Antonio,1513.0,1554.0,1348.0
San Antonio,1513.0,1554.0,1349.0
San Antonio,1513.0,1554.0,1349.0
Algarrobo,1511.0,1553.0,1345.0
Algarrobo,1522.0,1564.0,1355.0
Cartagena,1513.0,1554.0,1347.0
Cartagena,1513.0,1554.0,1349.0
El Quisco,1510.0,1552.0,1345.0
El Quisco,1510.0,1552.0,1345.0
